X--Trace 1::[-I(I1:3) | I(PR1)],Y--Trace 1::[-I(I1:3) | I(PR1)]
1,6.12605e-05
1.02329,6.26874e-05
1.04713,6.41476e-05
1.07152,6.56418e-05
1.09648,6.71708e-05
1.12202,6.87354e-05
1.14815,7.03364e-05
1.1749,7.19748e-05
1.20226,7.36513e-05
1.23027,7.53668e-05
1.25893,7.71223e-05
1.28825,7.89188e-05
1.31826,8.0757e-05
1.34896,8.26381e-05
1.38038,8.4563e-05
1.41254,8.65327e-05
1.44544,8.85483e-05
1.47911,9.06108e-05
1.51356,9.27214e-05
1.54882,9.48812e-05
1.58489,9.70913e-05
1.62181,9.93528e-05
1.65959,0.000101667
1.69824,0.000104035
1.7378,0.000106458
1.77828,0.000108938
1.8197,0.000111476
1.86209,0.000114072
1.90546,0.000116729
1.94984,0.000119448
1.99526,0.000122231
2.04174,0.000125078
2.0893,0.000127991
2.13796,0.000130972
2.18776,0.000134023
2.23872,0.000137145
2.29087,0.000140339
2.34423,0.000143608
2.39883,0.000146953
2.45471,0.000150376
2.51189,0.000153879
2.5704,0.000157463
2.63027,0.000161131
2.69153,0.000164884
2.75423,0.000168725
2.81838,0.000172655
2.88403,0.000176677
2.95121,0.000180792
3.01995,0.000185003
3.0903,0.000189312
3.16228,0.000193722
3.23594,0.000198234
3.31131,0.000202851
3.38844,0.000207576
3.46737,0.000212411
3.54813,0.000217359
3.63078,0.000222422
3.71535,0.000227602
3.80189,0.000232904
3.89045,0.000238329
3.98107,0.00024388
4.0738,0.00024956
4.16869,0.000255373
4.2658,0.000261321
4.36516,0.000267408
4.46684,0.000273636
4.57088,0.000280009
4.67735,0.000286531
4.7863,0.000293205
4.89779,0.000300034
5.01187,0.000307022
5.12861,0.000314172
5.24807,0.000321489
5.37032,0.000328977
5.49541,0.000336639
5.62341,0.000344479
5.7544,0.000352501
5.88844,0.000360711
6.0256,0.000369111
6.16595,0.000377707
6.30957,0.000386502
6.45654,0.000395503
6.60693,0.000404712
6.76083,0.000414136
6.91831,0.000423779
7.07946,0.000433646
7.24436,0.000443743
7.4131,0.000454074
7.58578,0.000464645
7.76247,0.000475462
7.94328,0.00048653
8.12831,0.000497855
8.31764,0.000509443
8.51138,0.0005213
8.70964,0.000533431
8.91251,0.000545844
9.12011,0.000558545
9.33254,0.00057154
9.54993,0.000584835
9.77237,0.000598438
10,0.000612356
10.2329,0.000626595
10.4713,0.000641163
10.7152,0.000656067
10.9648,0.000671314
11.2202,0.000686912
11.4815,0.000702869
11.749,0.000719193
12.0226,0.00073589
12.3027,0.00075297
12.5893,0.00077044
12.8825,0.000788309
13.1826,0.000806585
13.4896,0.000825276
13.8038,0.00084439
14.1254,0.000863936
14.4544,0.000883923
14.7911,0.000904359
15.1356,0.000925253
15.4882,0.000946612
15.8489,0.000968445
16.2181,0.000990761
16.5959,0.00101357
16.9824,0.00103687
17.378,0.00106068
17.7828,0.00108501
18.197,0.00110985
18.6209,0.00113522
19.0546,0.00116113
19.4984,0.00118757
19.9526,0.00121456
20.4174,0.00124209
20.893,0.00127018
21.3796,0.00129881
21.8776,0.001328
22.3872,0.00135775
22.9087,0.00138805
23.4423,0.00141889
23.9883,0.00145028
24.5471,0.0014822
25.1189,0.00151465
25.704,0.00154761
26.3027,0.00158106
26.9153,0.001615
27.5423,0.00164938
28.1838,0.0016842
28.8403,0.00171942
29.5121,0.001755
30.1995,0.00179091
30.903,0.00182709
31.6228,0.0018635
32.3594,0.00190008
33.1131,0.00193676
33.8844,0.00197347
34.6737,0.00201015
35.4813,0.00204669
36.3078,0.002083
37.1535,0.00211899
38.0189,0.00215455
38.9045,0.00218956
39.8107,0.0022239
40.738,0.00225743
41.6869,0.00229003
42.658,0.00232154
43.6516,0.00235183
44.6684,0.00238075
45.7088,0.00240814
46.7735,0.00243386
47.863,0.00245776
48.9779,0.0024797
50.1187,0.00249953
51.2861,0.00251715
52.4807,0.00253241
53.7032,0.00254523
54.9541,0.00255552
56.2341,0.00256318
57.544,0.00256819
58.8844,0.00257048
60.256,0.00257006
61.6595,0.00256692
63.0957,0.00256108
64.5654,0.00255259
66.0693,0.00254151
67.6083,0.00252792
69.1831,0.00251192
70.7946,0.00249361
72.4436,0.00247311
74.131,0.00245056
75.8578,0.00242609
77.6247,0.00239985
79.4328,0.00237198
81.2831,0.00234264
83.1764,0.00231198
85.1138,0.00228014
87.0964,0.00224726
89.1251,0.0022135
91.2011,0.00217897
93.3254,0.00214381
95.4993,0.00210814
97.7237,0.00207208
100,0.00203572
102.329,0.00199917
104.713,0.00196252
107.152,0.00192585
109.648,0.00188924
112.202,0.00185276
114.815,0.00181647
117.49,0.00178042
120.226,0.00174466
123.027,0.00170924
125.893,0.0016742
128.825,0.00163957
131.826,0.00160538
134.896,0.00157166
138.038,0.00153842
141.254,0.00150568
144.544,0.00147346
147.911,0.00144177
151.356,0.00141062
154.882,0.00138001
158.489,0.00134996
162.181,0.00132046
165.959,0.00129152
169.824,0.00126313
173.78,0.0012353
177.828,0.00120802
181.97,0.00118128
186.209,0.00115509
190.546,0.00112944
194.984,0.00110433
199.526,0.00107974
204.174,0.00105567
208.93,0.00103212
213.796,0.00100907
218.776,0.000986528
223.872,0.000964472
229.087,0.000942899
234.423,0.000921802
239.883,0.000901171
245.471,0.000880999
251.189,0.000861277
257.04,0.000841998
263.027,0.000823152
269.153,0.000804731
275.423,0.000786728
281.838,0.000769133
288.403,0.000751939
295.121,0.000735138
301.995,0.000718722
309.03,0.000702682
316.228,0.000687012
323.594,0.000671703
331.131,0.000656748
338.844,0.000642139
346.737,0.000627869
354.813,0.00061393
363.078,0.000600317
371.535,0.00058702
380.189,0.000574034
389.045,0.000561351
398.107,0.000548964
407.38,0.000536868
416.869,0.000525054
426.58,0.000513517
436.516,0.00050225
446.684,0.000491246
457.088,0.000480499
467.735,0.000470003
478.63,0.000459752
489.779,0.000449739
501.187,0.000439958
512.861,0.000430404
524.807,0.00042107
537.032,0.00041195
549.541,0.000403038
562.341,0.00039433
575.44,0.000385818
588.844,0.000377498
602.56,0.000369365
616.595,0.000361413
630.957,0.000353636
645.654,0.000346031
660.693,0.000338591
676.083,0.000331313
691.831,0.000324192
707.946,0.000317223
724.436,0.000310402
741.31,0.000303725
758.578,0.000297189
776.247,0.000290789
794.328,0.000284522
812.831,0.000278385
831.764,0.000272375
851.138,0.000266488
870.964,0.000260721
891.251,0.000255072
912.011,0.000249538
933.254,0.000244118
954.993,0.000238807
977.237,0.000233604
1000,0.000228508
1023.29,0.000223515
1047.13,0.000218624
1071.52,0.000213833
1096.48,0.00020914
1122.02,0.000204543
1148.15,0.000200041
1174.9,0.000195632
1202.26,0.000191314
1230.27,0.000187086
1258.93,0.000182945
1288.25,0.000178891
1318.26,0.000174922
1348.96,0.000171036
1380.38,0.000167233
1412.54,0.000163509
1445.44,0.000159865
1479.11,0.000156298
1513.56,0.000152808
1548.82,0.000149392
1584.89,0.000146049
1621.81,0.000142779
1659.59,0.000139579
1698.24,0.000136448
1737.8,0.000133385
1778.28,0.000130389
1819.7,0.000127458
1862.09,0.000124592
1905.46,0.000121788
1949.84,0.000119045
1995.26,0.000116363
2041.74,0.00011374
2089.3,0.000111175
2137.96,0.000108666
2187.76,0.000106213
2238.72,0.000103814
2290.87,0.000101469
2344.23,9.91756e-05
2398.83,9.69333e-05
2454.71,9.4741e-05
2511.89,9.25975e-05
2570.4,9.05019e-05
2630.27,8.84531e-05
2691.53,8.64502e-05
2754.23,8.44921e-05
2818.38,8.25779e-05
2884.03,8.07066e-05
2951.21,7.88774e-05
3019.95,7.70892e-05
3090.3,7.53412e-05
3162.28,7.36325e-05
3235.94,7.19622e-05
3311.31,7.03296e-05
3388.44,6.87337e-05
3467.37,6.71739e-05
3548.13,6.56492e-05
3630.78,6.41589e-05
3715.35,6.27022e-05
3801.89,6.12785e-05
3890.45,5.98869e-05
3981.07,5.85267e-05
4073.8,5.71973e-05
4168.69,5.5898e-05
4265.8,5.46281e-05
4365.16,5.33869e-05
4466.84,5.21738e-05
4570.88,5.09881e-05
4677.35,4.98293e-05
4786.3,4.86968e-05
4897.79,4.75899e-05
5011.87,4.65081e-05
5128.61,4.54509e-05
5248.07,4.44176e-05
5370.32,4.34077e-05
5495.41,4.24208e-05
5623.41,4.14562e-05
5754.4,4.05135e-05
5888.44,3.95922e-05
6025.6,3.86918e-05
6165.95,3.78119e-05
6309.57,3.69519e-05
6456.54,3.61115e-05
6606.93,3.52901e-05
6760.83,3.44874e-05
6918.31,3.37029e-05
7079.46,3.29363e-05
7244.36,3.2187e-05
7413.1,3.14548e-05
7585.78,3.07392e-05
7762.47,3.00399e-05
7943.28,2.93565e-05
8128.31,2.86886e-05
8317.64,2.80359e-05
8511.38,2.7398e-05
8709.64,2.67746e-05
8912.51,2.61654e-05
9120.11,2.55701e-05
9332.54,2.49882e-05
9549.93,2.44196e-05
9772.37,2.3864e-05
10000,2.3321e-05
10232.9,2.27903e-05
10471.3,2.22717e-05
10715.2,2.17648e-05
10964.8,2.12696e-05
11220.2,2.07855e-05
11481.5,2.03125e-05
11749,1.98503e-05
12022.6,1.93985e-05
12302.7,1.8957e-05
12589.3,1.85256e-05
12882.5,1.8104e-05
13182.6,1.7692e-05
13489.6,1.72893e-05
13803.8,1.68959e-05
14125.4,1.65113e-05
14454.4,1.61355e-05
14791.1,1.57683e-05
15135.6,1.54094e-05
15488.2,1.50587e-05
15848.9,1.4716e-05
16218.1,1.43811e-05
16595.9,1.40537e-05
16982.4,1.37339e-05
17378,1.34213e-05
17782.8,1.31158e-05
18197,1.28173e-05
18620.9,1.25256e-05
19054.6,1.22405e-05
19498.4,1.19619e-05
19952.6,1.16896e-05
