X--Trace 1::[-I(I1:3) | I(PR3)],Y--Trace 1::[-I(I1:3) | I(PR3)]
1,0.00073392
1.02329,0.000750182
1.04713,0.000766766
1.07152,0.000783676
1.09648,0.000800915
1.12202,0.000818488
1.14815,0.000836397
1.1749,0.000854647
1.20226,0.000873238
1.23027,0.000892176
1.25893,0.000911461
1.28825,0.000931096
1.31826,0.000951083
1.34896,0.000971425
1.38038,0.000992121
1.41254,0.00101317
1.44544,0.00103458
1.47911,0.00105635
1.51356,0.00107847
1.54882,0.00110095
1.58489,0.00112379
1.62181,0.00114698
1.65959,0.00117052
1.69824,0.00119441
1.7378,0.00121864
1.77828,0.00124322
1.8197,0.00126814
1.86209,0.00129338
1.90546,0.00131896
1.94984,0.00134486
1.99526,0.00137107
2.04174,0.00139758
2.0893,0.0014244
2.13796,0.0014515
2.18776,0.00147888
2.23872,0.00150654
2.29087,0.00153444
2.34423,0.00156259
2.39883,0.00159098
2.45471,0.00161958
2.51189,0.00164838
2.5704,0.00167737
2.63027,0.00170654
2.69153,0.00173585
2.75423,0.00176531
2.81838,0.00179488
2.88403,0.00182456
2.95121,0.00185432
3.01995,0.00188414
3.0903,0.001914
3.16228,0.00194387
3.23594,0.00197375
3.31131,0.00200361
3.38844,0.00203342
3.46737,0.00206316
3.54813,0.00209281
3.63078,0.00212235
3.71535,0.00215175
3.80189,0.002181
3.89045,0.00221007
3.98107,0.00223893
4.0738,0.00226757
4.16869,0.00229597
4.2658,0.00232409
4.36516,0.00235193
4.46684,0.00237946
4.57088,0.00240666
4.67735,0.00243351
4.7863,0.00246
4.89779,0.00248611
5.01187,0.00251181
5.12861,0.0025371
5.24807,0.00256196
5.37032,0.00258637
5.49541,0.00261032
5.62341,0.00263381
5.7544,0.00265681
5.88844,0.00267932
6.0256,0.00270133
6.16595,0.00272283
6.30957,0.00274382
6.45654,0.00276428
6.60693,0.00278422
6.76083,0.00280362
6.91831,0.00282249
7.07946,0.00284082
7.24436,0.0028586
7.4131,0.00287585
7.58578,0.00289256
7.76247,0.00290872
7.94328,0.00292435
8.12831,0.00293944
8.31764,0.00295399
8.51138,0.00296801
8.70964,0.0029815
8.91251,0.00299447
9.12011,0.00300691
9.33254,0.00301884
9.54993,0.00303026
9.77237,0.00304116
10,0.00305157
10.2329,0.00306148
10.4713,0.0030709
10.7152,0.00307983
10.9648,0.00308828
11.2202,0.00309625
11.4815,0.00310376
11.749,0.0031108
12.0226,0.00311738
12.3027,0.0031235
12.5893,0.00312917
12.8825,0.0031344
13.1826,0.00313919
13.4896,0.00314354
13.8038,0.00314746
14.1254,0.00315094
14.4544,0.003154
14.7911,0.00315663
15.1356,0.00315884
15.4882,0.00316063
15.8489,0.00316201
16.2181,0.00316296
16.5959,0.0031635
16.9824,0.00316362
17.378,0.00316333
17.7828,0.00316262
18.197,0.00316149
18.6209,0.00315995
19.0546,0.00315798
19.4984,0.0031556
19.9526,0.00315279
20.4174,0.00314956
20.893,0.0031459
21.3796,0.0031418
21.8776,0.00313728
22.3872,0.00313231
22.9087,0.0031269
23.4423,0.00312104
23.9883,0.00311473
24.5471,0.00310796
25.1189,0.00310073
25.704,0.00309303
26.3027,0.00308487
26.9153,0.00307622
27.5423,0.00306709
28.1838,0.00305748
28.8403,0.00304736
29.5121,0.00303676
30.1995,0.00302564
30.903,0.00301402
31.6228,0.00300188
32.3594,0.00298923
33.1131,0.00297605
33.8844,0.00296235
34.6737,0.00294811
35.4813,0.00293335
36.3078,0.00291804
37.1535,0.0029022
38.0189,0.00288582
38.9045,0.0028689
39.8107,0.00285144
40.738,0.00283343
41.6869,0.00281489
42.658,0.00279582
43.6516,0.0027762
44.6684,0.00275606
45.7088,0.0027354
46.7735,0.00271421
47.863,0.00269251
48.9779,0.00267031
50.1187,0.00264761
51.2861,0.00262443
52.4807,0.00260077
53.7032,0.00257664
54.9541,0.00255207
56.2341,0.00252705
57.544,0.00250161
58.8844,0.00247576
60.256,0.00244952
61.6595,0.00242291
63.0957,0.00239594
64.5654,0.00236863
66.0693,0.002341
67.6083,0.00231308
69.1831,0.00228487
70.7946,0.00225641
72.4436,0.00222771
74.131,0.0021988
75.8578,0.0021697
77.6247,0.00214043
79.4328,0.00211101
81.2831,0.00208146
83.1764,0.00205182
85.1138,0.0020221
87.0964,0.00199232
89.1251,0.0019625
91.2011,0.00193268
93.3254,0.00190286
95.4993,0.00187308
97.7237,0.00184334
100,0.00181368
102.329,0.00178411
104.713,0.00175465
107.152,0.00172531
109.648,0.00169613
112.202,0.00166711
114.815,0.00163827
117.49,0.00160963
120.226,0.0015812
123.027,0.00155299
125.893,0.00152503
128.825,0.00149731
131.826,0.00146987
134.896,0.00144269
138.038,0.00141581
141.254,0.00138921
144.544,0.00136293
147.911,0.00133695
151.356,0.0013113
154.882,0.00128597
158.489,0.00126098
162.181,0.00123633
165.959,0.00121202
169.824,0.00118805
173.78,0.00116444
177.828,0.00114119
181.97,0.00111829
186.209,0.00109575
190.546,0.00107357
194.984,0.00105175
199.526,0.0010303
204.174,0.00100921
208.93,0.000988478
213.796,0.000968111
218.776,0.000948105
223.872,0.000928459
229.087,0.000909171
234.423,0.00089024
239.883,0.000871663
245.471,0.000853438
251.189,0.000835563
257.04,0.000818034
263.027,0.000800849
269.153,0.000784005
275.423,0.000767498
281.838,0.000751325
288.403,0.000735482
295.121,0.000719966
301.995,0.000704773
309.03,0.000689898
316.228,0.000675338
323.594,0.000661088
331.131,0.000647145
338.844,0.000633503
346.737,0.000620159
354.813,0.000607109
363.078,0.000594346
371.535,0.000581868
380.189,0.000569668
389.045,0.000557743
398.107,0.000546087
407.38,0.000534696
416.869,0.000523564
426.58,0.000512687
436.516,0.000502059
446.684,0.000491675
457.088,0.000481529
467.735,0.000471617
478.63,0.000461932
489.779,0.00045247
501.187,0.000443224
512.861,0.000434189
524.807,0.00042536
537.032,0.00041673
549.541,0.000408294
562.341,0.000400046
575.44,0.00039198
588.844,0.000384091
602.56,0.000376373
616.595,0.00036882
630.957,0.000361427
645.654,0.000354189
660.693,0.0003471
676.083,0.000340155
691.831,0.00033335
707.946,0.000326678
724.436,0.000320137
741.31,0.000313722
758.578,0.000307427
776.247,0.000301251
794.328,0.000295189
812.831,0.000289237
831.764,0.000283393
851.138,0.000277653
870.964,0.000272016
891.251,0.000266478
912.011,0.000261037
933.254,0.000255691
954.993,0.000250439
977.237,0.000245278
1000,0.000240207
1023.29,0.000235225
1047.13,0.00023033
1071.52,0.000225521
1096.48,0.000220797
1122.02,0.000216156
1148.15,0.000211599
1174.9,0.000207123
1202.26,0.000202729
1230.27,0.000198415
1258.93,0.00019418
1288.25,0.000190023
1318.26,0.000185944
1348.96,0.000181941
1380.38,0.000178015
1412.54,0.000174164
1445.44,0.000170386
1479.11,0.000166683
1513.56,0.000163051
1548.82,0.000159491
1584.89,0.000156002
1621.81,0.000152582
1659.59,0.000149231
1698.24,0.000145948
1737.8,0.000142731
1778.28,0.000139581
1819.7,0.000136495
1862.09,0.000133473
1905.46,0.000130513
1949.84,0.000127616
1995.26,0.000124779
2041.74,0.000122002
2089.3,0.000119284
2137.96,0.000116623
2187.76,0.000114019
2238.72,0.000111471
2290.87,0.000108977
2344.23,0.000106537
2398.83,0.00010415
2454.71,0.000101815
2511.89,9.95297e-05
2570.4,9.72945e-05
2630.27,9.5108e-05
2691.53,9.29693e-05
2754.23,9.08775e-05
2818.38,8.88315e-05
2884.03,8.68305e-05
2951.21,8.48736e-05
3019.95,8.29599e-05
3090.3,8.10884e-05
3162.28,7.92584e-05
3235.94,7.74689e-05
3311.31,7.57191e-05
3388.44,7.40082e-05
3467.37,7.23354e-05
3548.13,7.06998e-05
3630.78,6.91007e-05
3715.35,6.75373e-05
3801.89,6.60088e-05
3890.45,6.45145e-05
3981.07,6.30536e-05
4073.8,6.16255e-05
4168.69,6.02294e-05
4265.8,5.88646e-05
4365.16,5.75304e-05
4466.84,5.62263e-05
4570.88,5.49514e-05
4677.35,5.37052e-05
4786.3,5.24871e-05
4897.79,5.12964e-05
5011.87,5.01325e-05
5128.61,4.89948e-05
5248.07,4.78828e-05
5370.32,4.67959e-05
5495.41,4.57336e-05
5623.41,4.46952e-05
5754.4,4.36803e-05
5888.44,4.26883e-05
6025.6,4.17187e-05
6165.95,4.07711e-05
6309.57,3.98449e-05
6456.54,3.89396e-05
6606.93,3.80549e-05
6760.83,3.71902e-05
6918.31,3.6345e-05
7079.46,3.5519e-05
7244.36,3.47117e-05
7413.1,3.39227e-05
7585.78,3.31516e-05
7762.47,3.2398e-05
7943.28,3.16614e-05
8128.31,3.09416e-05
8317.64,3.02381e-05
8511.38,2.95505e-05
8709.64,2.88786e-05
8912.51,2.82219e-05
9120.11,2.75801e-05
9332.54,2.69528e-05
9549.93,2.63399e-05
9772.37,2.57408e-05
10000,2.51553e-05
10232.9,2.45831e-05
10471.3,2.4024e-05
10715.2,2.34775e-05
10964.8,2.29434e-05
11220.2,2.24215e-05
11481.5,2.19114e-05
11749,2.14129e-05
12022.6,2.09258e-05
12302.7,2.04497e-05
12589.3,1.99844e-05
12882.5,1.95297e-05
13182.6,1.90854e-05
13489.6,1.86511e-05
13803.8,1.82268e-05
14125.4,1.7812e-05
14454.4,1.74067e-05
14791.1,1.70107e-05
15135.6,1.66236e-05
15488.2,1.62453e-05
15848.9,1.58756e-05
16218.1,1.55144e-05
16595.9,1.51613e-05
16982.4,1.48163e-05
17378,1.44791e-05
17782.8,1.41496e-05
18197,1.38276e-05
18620.9,1.35129e-05
19054.6,1.32054e-05
19498.4,1.29049e-05
19952.6,1.26112e-05
